Time-Stamp,DeviceID,DeviceType,Status,MAX_High_Current,MIN_High_Current,MAX_Mid_Current,MIN_Mid_Current,MAX_Low_Current,MIN_Low_Current,MAX_Off_Current,MIN_Off_Current,SW1,Current-1,SW2,Current-2,SW3,Current-3,SW4,Current-4,Lot_ID,Issue-Name,Print_Status,Firmware_Version
2024-07-01 16:06:31,F4CE36012B01D565,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,855 mA,off,11 mA,1,809 mA,2,839 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE36015A4103E9,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,944 mA,off,10 mA,1,820 mA,2,809 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE3601FD3977C0,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,864 mA,off,11 mA,1,776 mA,2,860 mA,DEMO-L202411,,1,
2024-07-02 10:25:49,F4CE360282994D1B,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,904 mA,off,12 mA,1,1012 mA,2,879 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE3602B92F8E18,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,902 mA,off,11 mA,1,1021 mA,2,946 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE3602DA7D1F59,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,940 mA,off,11 mA,1,809 mA,2,877 mA,DEMO-L202411,,1,
2024-07-02 10:25:49,F4CE3603533C0ED2,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1014 mA,off,11 mA,1,946 mA,2,913 mA,DEMO-L202411,,1,
2024-07-01 13:59:24,F4CE36041A5789BB,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,848 mA,off,11 mA,1,1028 mA,2,885 mA,DEMO-L202411,,1,
2024-07-01 14:17:07,F4CE360492DAAAEA,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,847 mA,off,12 mA,1,923 mA,2,975 mA,DEMO-L202411,,1,
2024-07-03 16:06:07,F4CE360532F60546,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,871 mA,off,10 mA,1,952 mA,2,1003 mA,DEMO-L202411,,1,
2024-07-04 09:46:15,F4CE3605393B79DB,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,900 mA,off,9 mA,1,1002 mA,2,889 mA,DEMO-L202411,,1,
2024-07-01 12:40:20,F4CE36058BA39976,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1038 mA,off,10 mA,1,900 mA,2,994 mA,DEMO-L202411,,1,
2024-07-02 11:47:55,F4CE3605E348BD0B,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,HIGH,851 mA,OFF,12 mA,LOW,1002 mA,MID,966 mA,DEMO-L202411,,1,
2024-07-03 16:06:07,F4CE3606B2CA5896,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1046 mA,off,11 mA,1,1080 mA,2,960 mA,DEMO-L202411,,1,
2024-07-04 15:21:13,F4CE3606B42F53EF,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,HIGH,11 mA,OFF,11 mA,LOW,16 mA,MID,12 mA,DEMO-L202411,,1,
2024-07-04 09:46:15,F4CE3606EE46814D,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,964 mA,off,12 mA,1,1074 mA,2,1071 mA,DEMO-L202411,,1,
2024-07-03 16:06:07,F4CE3607073423C0,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,843 mA,off,11 mA,1,1090 mA,2,869 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE360764267CD3,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,955 mA,off,11 mA,1,871 mA,2,1043 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE3609B40EA3BA,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,853 mA,off,11 mA,1,952 mA,2,864 mA,DEMO-L202411,,1,
2024-07-04 10:26:46,F4CE3609F3CDA5CC,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1056 mA,off,10 mA,1,848 mA,2,947 mA,DEMO-L202411,,1,
2024-07-04 10:49:42,F4CE360A90880ECB,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,831 mA,off,12 mA,1,841 mA,2,1109 mA,DEMO-L202411,,1,
2024-07-01 14:17:07,F4CE360AD75242E7,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,993 mA,off,13 mA,1,986 mA,2,996 mA,DEMO-L202411,,1,
2024-07-02 10:25:49,F4CE360B52D91E1B,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,998 mA,off,12 mA,1,995 mA,2,882 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE360B5CC48759,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1007 mA,off,12 mA,1,1008 mA,2,1003 mA,DEMO-L202411,,1,
2024-07-02 10:25:49,F4CE360B83DCF0A3,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,947 mA,off,12 mA,1,920 mA,2,932 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE360BEFFAF085,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,787 mA,off,10 mA,1,932 mA,2,790 mA,DEMO-L202411,,1,
2024-07-04 10:49:42,F4CE360C01109A39,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1144 mA,off,10 mA,1,1041 mA,2,1059 mA,DEMO-L202411,,1,
2024-07-04 09:46:15,F4CE360C76DC8E50,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,901 mA,off,11 mA,1,1088 mA,2,1103 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE360D9B317D62,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,845 mA,off,11 mA,1,840 mA,2,979 mA,DEMO-L202411,,1,
2024-07-04 14:34:19,F4CE360DBE93BD60,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,963 mA,off,11 mA,1,836 mA,2,980 mA,DEMO-L202411,,1,
2024-07-02 10:25:49,F4CE360E1FC5A5AB,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,912 mA,off,10 mA,1,966 mA,2,955 mA,DEMO-L202411,,1,
2024-07-02 10:25:49,F4CE360E74AB7DAA,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,922 mA,off,11 mA,1,976 mA,2,934 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE360EECA07A26,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,HIGH,802 mA,OFF,11 mA,LOW,832 mA,MID,869 mA,DEMO-L202411,,1,
